Название,Тип,Описание,Код/UUID
Автоподпись,Функция Фича-флаг,Автоматическое подписывание документов,autosign
Интеграция с БМГ,Функция Фича-флаг,Проверка контрагента по номеру телефона и ИИН (реестр БМГ),bmg
Интеграция с Enbek.kz,Функция Фича-флаг,Регистрация трудовых договоров в портале Enbek.kz,enbek
Массовая отправка,Функция Фича-флаг,Отправляйте до 1000 договоров одним кликом.,massSend
Массовое подписание,Функция Фича-флаг,Подпишите до 200 документов одним кликом,groupSign
Массовое расторжение,Функция Фича-флаг,Быстрое расторжение пакетом,groupTermination
Получение данных о физлицах,Функция Фича-флаг,Получение данных по физическим лицам,gbdfl
Получение данных о юрлицах,Функция Фича-флаг,Получение данных по юридическим лицам,gbdul
Получение данных об ИП,Функция Фича-флаг,Получение данных по зарегистрированным ИП,compra
Проверка контрагентов,Функция Фича-флаг,Скоринг рисков и проверка контрагентов по госреестрам,abisIntegration
Скрыть ЭЦП,Функция Фича-флаг,ЭЦП НУЦ РК/eGovMobile для подписания документов,disableSignEcp
Скрыть Egov Mobile,Функция Фича-флаг,Подписание через eGov Mobile,disableSignEgovMobile
Скрыть SMS-подпись,Функция Фича-флаг,Подтверждение подписи через SMS-код,disableSignSms
Интеграция по API,Функция,"Публичное API + готовые модули для Битрикса, AmoCRM и др",0fa988a7-52d5-4f28-85a5-30faf9d5ff5d
Кастомные СМС,Функция,Свой текст SMS-приглашения для подписания,13b810c8-e2a2-4949-8f32-a2938de7d3dd
Многостороннее подписание,Функция,Несколько участников в одном документе,4d6a8bc3-8a0c-4981-86bb-206a2831131c
"Модуль ""Бухгалтерия""",Функция,"Автоматизация первичной бухгалтерии (АВР, накладные, счета, акт сверки, 1С)",85a51891-4638-4dd4-afe5-c8c7f18bba2a
"Модуль ""Кадры""",Функция,"Электронный кадровый документооборот (трудовые, ГПХ, приказы, Enbek)",eeb2d6be-e0a6-4155-9a8d-c9102d18215d
Правки,Функция,,00000000-0000-0000-0000-000000000000
Шаблон,Функция,,00000000-0000-0000-0000-000000000000
Юр. услуги,Функция,,00000000-0000-0000-0000-000000000000
FaceID,Функция,Биометрическое подтверждение. 2 подписания за верификацию,3ab4a11c-a2ae-417c-906d-742fc3e8d003
QR Шаблон,Функция,,00000000-0000-0000-0000-000000000000
Автоподпись первой стороны,Фича-флаг,Первая сторона подписывает последней,autosignFirstPartAtTheEnd
Без подписи до автора,Фича-флаг,Все ждут подписи первой стороны,disableUntilCreatorSign
Бухгалтерия,Фича-флаг,"Накладные, АВР и прочие документы",accounting
Дочерние компании,Фича-флаг,Можно создавать компании и филиалы,companyGroups
Кадры,Фича-флаг,"Трудовые договора, сотрудники",hr
Отзыв контракта,Фича-флаг,Разрешает отзыв документа,revokeContract
Отказ от контракта,Фича-флаг,Отказ возможен до подписания,contractCancellation
Отказ создателя,Фича-флаг,Создатель может отказаться,contractCancellationCreator
Получатель может отменить,Фича-флаг,Получатель может отменить контракт,contractCancellationNonCreator
Разблокировка черновиков,Фича-флаг,Снимает лимит на 10 черновиков,unlockDrafts
Расторжение контракта,Фича-флаг,Позволяет оформить расторжение,contractTermination
Редактирование контракта,Фича-флаг,Правки разрешены до подписи,editContract
Скрывать договора без доступа,Фича-флаг,Скрывать договора папок без доступа,oldFolderAccess
"Скрыть вкладки ""Документы""",Фича-флаг,Скрывать вкладки Документы без доступа,hideMyContracts
Скрыть отзыв создателю,Фича-флаг,Создатель не отзывает контракт,disableContractRevokeForCreator
Скрыть отказ получателю,Фича-флаг,Получатель не может отказаться,disableContractRefusalForNonCreator
Скрыть ЭЦП получателю,Фича-флаг,Получатель без ЭЦП,disableSignEcpNonCreator
Скрыть Egov Mobile получателю,Фича-флаг,Получатель без Egov Mobile,disableSignEgovMobileNonCreator
Скрыть SMS получателю,Фича-флаг,Получатель без SMS,disableSignSmsNonCreator
Скрыть SMS создателю,Фича-флаг,Компания-создатель не подписывает по SMS,disableSignSmsCreator
Согласование,Фича-флаг,Этапы перед подписью,approval
Функции TrustCare,Фича-флаг,Загрузка файлов и показ документов на планшетах TrustCare,trustCare
